"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","MA1","TMP","WND"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-26T09:00:00","4","FM-12","99999","V020","99999,9,10060,1","+0366,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-26T12:00:00","4","FM-12","99999","V020","99999,9,10051,1","+0338,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-27T03:00:00","4","FM-12","99999","V020","99999,9,10077,1","+0290,1","999,9,V,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-27T06:00:00","4","FM-12","99999","V020","99999,9,10072,1","+0356,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-27T09:00:00","4","FM-12","99999","V020","99999,9,10056,1","+0368,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-27T12:00:00","4","FM-12","99999","V020","99999,9,10049,1","+0340,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-28T03:00:00","4","FM-12","99999","V020","99999,9,10082,1","+0298,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-28T06:00:00","4","FM-12","99999","V020","99999,9,10084,1","+0344,1","200,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-28T09:00:00","4","FM-12","99999","V020","99999,9,10054,1","+0368,1","270,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-28T12:00:00","4","FM-12","99999","V020","99999,9,10051,1","+0348,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-29T03:00:00","4","FM-12","99999","V020","99999,9,10099,1","+0312,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-29T06:00:00","4","FM-12","99999","V020","99999,9,10098,1","+0348,1","200,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-29T09:00:00","4","FM-12","99999","V020","99999,9,10069,1","+0354,1","999,9,V,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-29T12:00:00","4","FM-12","99999","V020","99999,9,10058,1","+0346,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-30T03:00:00","4","FM-12","99999","V020","99999,9,10088,1","+0316,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-30T06:00:00","4","FM-12","99999","V020","99999,9,10086,1","+0334,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-30T09:00:00","4","FM-12","99999","V020","99999,9,10056,1","+0354,1","270,1,N,0010,1"
